id,category,question,answer
1,General Requirements,What are the general admission requirements for undergraduate programs?,"Applicants must submit their official high school transcript, standardized test scores (SAT/ACT are optional for most programs), 2 letters of recommendation (one from a teacher, one from a counselor), and a personal statement/essay."
2,Deadlines,When is the application deadline for the Fall semester?,"Our Early Action (non-binding) deadline is November 1st, and decisions are sent by late December. The Regular Decision deadline is January 15th, with decisions announced in late March."
3,Fees & Waivers,Is there an application fee, and can it be waived?,"Yes, the standard application fee is $75. Fee waivers are readily available for eligible low-income students through the Common Application, College Board, ACT, or a direct request signed by a high school counselor."
4,Academic Criteria,What is the minimum GPA required for admission?,"While we review applications holistically and do not have a hard GPA cutoff, the competitive average GPA is 3.5 on an unweighted 4.0 scale. We look at grade trends, course rigor (AP/IB/Honors), and context."
5,Transfer Students,Do you accept transfer credits from community colleges?,"Yes! We accept transfer credits from regionally accredited community colleges. A minimum grade of 'C' is required for any course to be eligible for transfer, and a formal transcript evaluation is conducted upon admission."
6,Financial Aid,How can I apply for financial aid?,"You must complete the Free Application for Federal Student Aid (FAFSA) online using our federal school code (001234). The priority filing deadline is March 1st to ensure maximum consideration for grants and work-study."
7,Scholarships,Are merit scholarships available for international students?,"Yes, we offer merit-based academic scholarships to international students. No separate application is needed; all international applicants are automatically evaluated during the general admissions review."
8,Standardized Tests,What standardized tests do you require? Is it test-optional?,"We are proudly test-optional. You may choose whether to submit SAT or ACT scores. Your application will not be at any disadvantage if you choose not to submit test scores."
9,Application Options,Can I apply to multiple majors on one application?,"You can select a primary first-choice major and a secondary alternative major. If you do not meet the selective admissions criteria for your primary choice, you will automatically be reviewed for your alternative major."
10,Recommendation Letters,How do I submit my recommendation letters?,"Recommendation letters should be submitted directly by your teachers or counselors via the Common Application portal. Alternatively, they can upload them through Naviance or mail/email them to our Admissions Office."
11,Campus Life,Are campus tours available for prospective students?,"Yes, we offer live in-person campus tours Monday through Friday, as well as on select Saturdays. We also feature a fully interactive 3D virtual tour on our Admissions homepage. Registration is required online."
12,International Students,What is the English proficiency requirement for international students?,"International applicants whose primary native language is not English must demonstrate proficiency. We accept TOEFL (minimum 80), IELTS (minimum 6.5), or the Duolingo English Test (minimum 110)."
13,Housing,Is housing guaranteed for first-year students?,"Yes, on-campus housing is guaranteed and mandatory for all first-year full-time undergraduate students. This policy is designed to foster community, academic support, and smooth transition to college life."
14,Admissions Decisions,When will I receive my admission decision?,"Early Action applicants will receive their decision in their online portal by December 25th. Regular Decision applicants will receive their decision by March 31st."
15,Enrollment Deferral,Can I defer my admission to a later semester or year?,"Yes, admitted students can request a gap year or a one-semester deferral. To defer, you must submit your enrollment deposit and submit a formal Deferral Request Form detailing your gap plans by June 1st."
16,Application Options,Do you offer early decision (binding) options?,"No, we only offer Early Action (non-binding) and Regular Decision. Our Early Action option allows you to apply early and receive an early response without any binding obligation to enroll."
17,Academic Criteria,What does 'holistic review' mean in your admissions process?,"A holistic review means we look at the whole applicant. We evaluate grades and course rigor, but we also place significant weight on your personal essay, extracurricular involvement, letters of recommendation, leadership, and personal circumstances."
18,Specialized Programs,Are there specific additional requirements for Engineering or Nursing?,"Yes, competitive programs like Engineering and Nursing require stronger high school preparation in mathematics (pre-calculus/calculus) and laboratory sciences (chemistry/biology), and have higher grade expectations."
19,Campus Life,How many students are enrolled, and what is the average class size?,"Our university has a total undergraduate enrollment of approximately 14,500 students. Our student-to-faculty ratio is 14:1, and the average class size is 23 students. Less than 5% of classes are large lectures."
20,Academic Criteria,Can I change my major after being admitted?,"Yes, most majors allow for an easy transfer process. You will work with your first-year academic advisor to submit a change-of-major request. Some highly competitive programs like Nursing or Fine Arts may require an internal application."
21,Support Services,What support services are available for first-generation college students?,"We offer extensive support through our 'First-Gen Scholars' program. This includes priority peer mentoring, customized academic and financial aid counseling, specialized workshops, and dedicated textbook stipends."
22,Transfer Credits,Do you accept Advanced Placement (AP) or International Baccalaureate (IB) exam credits?,"Yes! We award college credit or course equivalency for AP exam scores of 4 or 5, and International Baccalaureate (IB) Higher Level (HL) exam scores of 5, 6, or 7. Official scores must be sent directly for evaluation."
23,Admissions Decisions,How does the waiting list work?,"If you are waitlisted, you must opt-in online to remain active. In early May, we evaluate enrollment numbers. If space becomes available, we offer admission to waitlist candidates sequentially, wrapping up by mid-June."
24,Campus Life,What extracurricular activities do you offer?,"We have over 220 active student-run organizations, including club and intramural sports, community service groups, student government, academic societies, visual/performing arts ensembles, and cultural clubs."
25,Financial Aid,Are there work-study opportunities on campus?,"Yes, eligible students receive Federal Work-Study funding as part of their financial aid package and can apply for various part-time on-campus positions. Non-work-study campus jobs are also widely available."
26,Fees & Waivers,What is the estimated total cost of attendance?,"For in-state residents, tuition and fees are approximately $11,800/year. For out-of-state residents, tuition is $27,500/year. On-campus room and board costs average $11,200/year for all students."
27,Specialized Programs,Do you have an Honors Program or Honors College?,"Yes, the University Honors College provides highly motivated students with small, discussion-based courses, designated honors residential housing, priority class registration, and dedicated research grant funds."
28,General Requirements,Can I apply if I am an undocumented or DACA student?,"Absolutely. We welcome and support applications from undocumented and DACA students. Undocumented students are reviewed under the same academic standards and are eligible for institutional merit scholarships."
29,Campus Life,What safety measures are implemented on campus?,"We maintain a 24/7 professionally sworn campus police department, emergency blue-light telephone towers throughout campus, secure electronic keycard entry for all residence halls, and a late-night safe escort service."
30,Admissions Decisions,How can I check my application status?,"Within 24 hours of submitting your application, you will receive an email with credentials to log into our secure Admissions Applicant Portal. There, you can track checklist items and view your official decision."
